URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-boiler-cleaning/7140692158.html,Boiler Cleaning,New York City
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect-high-end/7140584602.html,Project Architect - High End Residential,Upper West Side
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-engineer-recent/7140383164.html,Project Engineer - Recent College Graduate,"Brooklyn, NY"
https://newyork.craigslist.org/que/egr/d/jamaica-project-architects/7140006512.html,Project Architect(s),Queens
https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/7139795380.html,Drafter,Ridgewood
https://newyork.craigslist.org/que/egr/d/long-island-city-engineer/7139792789.html,ENGINEER,
https://newyork.craigslist.org/que/egr/d/estimator/7139790458.html,Estimator,Long Island City
https://newyork.craigslist.org/brk/egr/d/brooklyn-entry-level-project-engineer/7139785471.html,Entry Level Project Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-nyc-expediting-permit-project/7139756771.html,NYC Expediting/Permit Project Manager,Financial District
https://newyork.craigslist.org/jsy/egr/d/cranford-drafter-engineer-concrete/7139166697.html,"Drafter/Engineer Concrete Formwork, Shoring, Equipment, Similar",Manhattan/Cranford NJ
https://newyork.craigslist.org/brx/egr/d/bronx-estimator-drafter/7139130976.html,Estimator/Drafter,Bronx
https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-electrical/7138998393.html,Project Manager - Electrical / Data Construction - Large Firm,new york city
https://newyork.craigslist.org/lgi/egr/d/hauppauge-maintenance-mechanic/7138550009.html,Maintenance Mechanic,Hauppauge
https://newyork.craigslist.org/fct/egr/d/norwalk-intermediate-interior-designer/7138412583.html,Intermediate Interior Designer/ Architect,Norwalk
https://newyork.craigslist.org/brk/egr/d/brooklyn-dob-licensed-superintendent/7138254874.html,DOB LICENSED SUPERINTENDENT 100k-120k year/DOB LICENSE REQUIRED,
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/7137992096.html,Architectural Drafter,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe-or-eit/7137967033.html,Structural Engineer P.E. or E.I.T.,
https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator/7137850029.html,Estimator,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-mechanical-engineer/7137410856.html,Relocation: Mechanical Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-electrical-engineer/7137410237.html,Relocation: Electrical Engineer,
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-firmware-engineer/7137409453.html,Relocation: Firmware Engineer,
https://newyork.craigslist.org/jsy/egr/d/west-orange-chief-architect-experience/7136904449.html,Chief Architect experience wanted,
https://newyork.craigslist.org/que/egr/d/astoria-3d-draftsman-for-revit-cad/7136536511.html,"3D Draftsman for Revit cad mechanical, plumbing, fire suppression",Astoria
https://newyork.craigslist.org/brk/egr/d/stottville-designer-draftsperson/7136509622.html,Designer - Draftsperson,Ghent
